timestamp,rssi_dbm,quality,phase
1788935204.808662,-59.0,1.0,unconfirmed
1788935205.3185904,-60.0,1.0,unconfirmed
1788935205.761933,-60.0,1.0,unconfirmed
1788935206.273917,-60.0,1.0,unconfirmed
1788935206.796803,-58.0,1.0,unconfirmed
1788935207.30065,-59.0,1.0,unconfirmed
1788935207.8180156,-60.0,1.0,unconfirmed
1788935208.2877998,-60.0,1.0,unconfirmed
1788935208.8073227,-59.0,1.0,unconfirmed
1788935209.363359,-59.0,1.0,unconfirmed
1788935209.7931304,-59.0,1.0,unconfirmed
1788935210.3193083,-58.0,1.0,unconfirmed
1788935210.7966537,-61.0,1.0,unconfirmed
1788935211.3112605,-60.0,1.0,unconfirmed
1788935211.8345554,-59.0,1.0,unconfirmed
1788935212.350207,-58.0,1.0,unconfirmed
1788935212.8362544,-60.0,1.0,unconfirmed
1788935213.3392873,-61.0,1.0,unconfirmed
1788935213.850631,-59.0,1.0,unconfirmed
1788935214.3591418,-61.0,1.0,unconfirmed
1788935214.8880453,-59.0,1.0,unconfirmed
1788935215.457769,-60.0,1.0,unconfirmed
1788935215.979788,-60.0,1.0,unconfirmed
1788935216.4963212,-59.0,1.0,unconfirmed
1788935216.996898,-58.0,1.0,unconfirmed
1788935217.5648372,-58.0,1.0,unconfirmed
1788935217.966588,-58.0,1.0,unconfirmed
1788935218.5038495,-58.0,1.0,unconfirmed
1788935218.9689534,-59.0,1.0,unconfirmed
1788935219.4954014,-61.0,1.0,unconfirmed
1788935220.1100523,-58.0,1.0,unconfirmed
1788935220.5890994,-59.0,1.0,unconfirmed
1788935221.0700886,-58.0,1.0,unconfirmed
1788935221.5322628,-60.0,1.0,unconfirmed
1788935222.2354062,-59.0,1.0,unconfirmed
1788935223.7281578,-61.0,1.0,unconfirmed
1788935224.060323,-60.0,1.0,unconfirmed
1788935224.5275686,-60.0,1.0,unconfirmed
1788935225.0660837,-59.0,1.0,unconfirmed
1788935225.5394008,-60.0,1.0,unconfirmed
1788935226.0644562,-58.0,1.0,unconfirmed
1788935226.564013,-59.0,1.0,unconfirmed
1788935227.0266688,-60.0,1.0,unconfirmed
1788935227.539264,-60.0,1.0,unconfirmed
1788935228.0685346,-60.0,1.0,unconfirmed
1788935228.5625076,-60.0,1.0,unconfirmed
1788935229.0865085,-59.0,1.0,unconfirmed
1788935229.5802126,-61.0,1.0,unconfirmed
1788935230.0886574,-59.0,1.0,unconfirmed
1788935230.7105458,-60.0,1.0,unconfirmed
1788935231.1341217,-61.0,1.0,unconfirmed
1788935231.639125,-61.0,1.0,unconfirmed
1788935232.1761043,-60.0,1.0,unconfirmed
1788935232.6688864,-60.0,1.0,unconfirmed
1788935233.1864798,-61.0,1.0,unconfirmed
1788935233.6783586,-59.0,1.0,unconfirmed
1788935234.2627828,-59.0,1.0,unconfirmed
1788935234.7093036,-60.0,1.0,unconfirmed
1788935235.2397943,-59.0,1.0,unconfirmed
1788935236.6737475,-59.0,1.0,unconfirmed
1788935237.1164172,-61.0,1.0,unconfirmed
1788935237.5228162,-59.0,1.0,unconfirmed
1788935237.9811523,-58.0,1.0,unconfirmed
1788935238.464265,-58.0,1.0,unconfirmed
1788935239.0480058,-59.0,1.0,unconfirmed
1788935239.4973962,-59.0,1.0,unconfirmed
1788935240.0068736,-61.0,1.0,unconfirmed
1788935240.5258238,-59.0,1.0,unconfirmed
1788935241.050632,-59.0,1.0,unconfirmed
1788935241.5977142,-60.0,1.0,unconfirmed
1788935242.0770795,-59.0,1.0,unconfirmed
1788935242.57859,-60.0,1.0,unconfirmed
1788935243.0336502,-57.0,1.0,unconfirmed
